member_id,full_name,date_of_birth,gender,city,state,plan_id
c1f1fcaa-82fd-d5b7-3544-c8f9708b06a8,Thi53 Wunsch504,2005-07-04,F,Bellingham,NY,PLAN_GOLD
339144f8-50e1-633e-a013-f361391c4cff,Chi716 Greenfelder433,1998-05-11,M,Boston,TX,PLAN_BRONZE
d488232e-bf14-4bed-08c0-a82f34b6a197,Phillis443 Walter473,2003-01-28,F,Hingham,WA,PLAN_GOLD
faac724a-a9e9-be66-fe1e-3044dc0ba8ea,Brandon214 Watsica258,2020-12-04,F,New Marlborough,MA,PLAN_SILVER
23d16ee3-8cd4-eeb8-e77e-1e5fbf4c4159,Rodrigo242 Arellano2,1990-12-15,M,Revere,PA,PLAN_PLATINUM
aade3c61-92bd-d079-9d28-0b2b7fde0fbb,Sal878 Hoppe518,1985-06-05,M,Somerville,OH,PLAN_GOLD
0288c42c-43a1-9878-4a9d-6b96caa12c40,Miki234 Kozey370,1979-12-17,F,Cambridge,GA,PLAN_GOLD
dc6c06d0-a7d8-100f-c08b-46c93700c188,Taylor21 Gulgowski816,2006-07-11,M,Springfield,CA,PLAN_GOLD
61a2fcc0-d679-764c-7d86-b885b2c4907f,Erline657 Metz686,1993-01-22,F,Holbrook,OH,PLAN_GOLD
c0219ca9-576f-f7c2-9c44-de030e94969b,Beatriz277 Urías338,1971-12-06,F,Somerville,OH,PLAN_BRONZE
cb8c092a-99aa-6c9c-1ec1-660f0b00549d,Kari181 Douglas31,1990-12-28,F,Wellesley,MN,PLAN_PLATINUM
97a20cf9-630d-939c-2f50-f13c434aee2f,Mayme605 Walter473,1984-03-23,F,Boston,NY,PLAN_PLATINUM
55a6a46e-a1a4-0298-e58f-c0cb27cbb022,Maddie576 Gutmann970,1958-09-18,F,Quincy,MA,PLAN_PLATINUM
961f61f8-ed32-f113-8450-192064b49aa9,Jessia669 Wisoky380,2002-06-13,F,Abington,MA,PLAN_SILVER
9acc871f-b577-5530-b8ad-fa95b58cea25,Lavinia262 Heaney114,1985-03-24,F,Brookline,CO,PLAN_SILVER
1d3d0ba6-5475-07c2-0b40-562ad75fdf26,Laurena366 Heidenreich818,1960-01-21,F,East Longmeadow,AZ,PLAN_SILVER
98e4223a-5ad8-94e0-2d73-ee5203dd4e2b,Delfina519 Parisian75,2008-11-09,F,Everett,CO,PLAN_GOLD
8fa5a097-1970-9370-4193-a7baa3d235b5,Verla696 Hamill307,2000-08-25,F,Everett,NY,PLAN_GOLD
8c2d5e9b-0717-9616-beb9-21296a5b547d,Zelda766 Ernser583,1960-12-15,F,Haverhill,IL,PLAN_SILVER
a7624ac9-6308-e015-1c5c-115c97c631fe,Esther279 Runolfsson901,1959-11-02,F,Waltham,IL,PLAN_SILVER
33c2ca32-ae38-66c5-474f-83273568906e,Franklyn361 Tromp100,1955-10-25,M,Georgetown,MN,PLAN_BRONZE
57b53310-98a9-f011-69c0-02068c37d83b,Tommye961 Simonis280,1972-07-13,F,Plymouth,CO,PLAN_PLATINUM
c9b4f8c6-d7be-6563-0560-c90cfe6b12ca,Pei116 Williamson769,2003-10-08,F,Woburn,GA,PLAN_PLATINUM
1f528581-7613-2b96-dce3-68c7cf967ea1,Bonita405 Bernier607,1985-04-03,F,Whitman,OH,PLAN_GOLD
1cfa5a70-7f3c-4227-5cf1-e182fcff4cd4,Alaine226 Willms744,1958-09-18,F,Quincy,OH,PLAN_SILVER
2f031d4a-b070-ce15-6372-30c8fecf1164,Magdalene960 Orn563,1994-09-30,F,Lexington,NY,PLAN_BRONZE
9a632ddc-b352-6dd7-0fb3-916fde80c9a3,Shaun461 Dickens475,1989-02-22,M,Lunenburg,CA,PLAN_PLATINUM
56bf1a47-8065-1ba5-6d8c-430b37a621bf,Denny560 Watsica258,2007-06-22,M,Concord,TX,PLAN_GOLD
8bf6aa92-645f-3c82-ddcd-5851496a6aa8,Ethelyn789 Vandervort697,1967-05-07,F,Easton,NY,PLAN_GOLD
f0660412-c40e-4d5c-5b11-08b6da289331,Terry864 King743,1975-01-24,M,Buzzards Bay,OH,PLAN_GOLD
53cc5b94-3c84-3ecf-ae94-f98203e3d8ba,Elwood28 Gottlieb798,2014-03-07,M,Braintree,PA,PLAN_GOLD
060e72d3-912e-55cd-0c92-5faa6cb7a6db,Benny518 Tillman293,1969-01-03,M,Quincy,FL,PLAN_SILVER
18f70d07-28a0-17f3-2605-bf21cceb194b,Ernestina649 Fahey393,2020-02-08,F,Cambridge,NC,PLAN_BRONZE
a7b903a5-5c6f-3f5e-4035-62d94b0b52b3,Lavonia8 Abernathy524,1995-12-21,F,Medford,TX,PLAN_SILVER
2dacba2b-f4f3-9726-0f13-2f1a87f69bba,Margarite168 Boyer713,1988-03-15,F,Waltham,IL,PLAN_SILVER
7d28d76a-9ac8-67b4-3c88-0a75be3d0851,Erna640 Robel940,1969-01-03,F,Lynn,CA,PLAN_SILVER
307b6419-5147-4716-10b1-bb458ac191c3,Micheal721 Shields502,2003-07-19,F,Fairhaven,MN,PLAN_GOLD
0afb59a5-12cb-3b6a-eead-3a72d24fb678,Hershel911 Lang846,1980-12-05,M,Holbrook,PA,PLAN_GOLD
38565670-114d-6c46-50b9-76bbffb16ffb,Christal240 Glover433,1970-09-14,F,Lawrence,CO,PLAN_GOLD
6a6a1b30-9966-bd68-e732-b7ce2c0b6ade,Roberto515 Quiroz936,2013-11-19,M,Haverhill,GA,PLAN_SILVER
be82309d-1a8f-df82-4cd6-5f03e1060e8e,Felton646 Pouros728,1970-03-07,M,Shirley,WI,PLAN_PLATINUM
5e2cd800-901b-55d3-edf4-ab6e3c7524ff,Jonathon205 Rice937,1983-03-13,M,Somerville,OH,PLAN_GOLD
62bb08df-1e20-441c-6fea-94c47a30690a,Leonie332 Monahan736,1980-05-21,F,Newburyport,OH,PLAN_PLATINUM
d1822991-eb4f-aafe-6a88-cd5279b4385b,Solomon675 Moore224,2017-01-09,M,Lancaster,PA,PLAN_SILVER
5b2f8ddd-408a-884c-00e9-047b13e6cc45,Refugio197 Ratke343,1999-07-06,M,Lynn,AZ,PLAN_PLATINUM
afd63046-5213-0c98-561f-12e6725cd1f5,Pattie91 West559,1956-10-25,F,Belmont,MN,PLAN_PLATINUM
ceec80e3-5c50-be88-198c-e98375c8e8a2,Gerry91 Treutel973,1977-09-12,M,Boston,GA,PLAN_GOLD
3a74ce3c-442e-b4ef-fb10-560f58f8e613,Leif534 Williamson769,1997-03-26,M,Amherst,IL,PLAN_SILVER
04f25f73-04b2-469c-3806-540417a0d61c,Maye976 Dickinson688,1969-10-19,F,Woburn,OH,PLAN_BRONZE
3ff3637c-86a6-6d45-8e41-f1b2c96fbcf4,Rosana394 Kessler503,2010-01-13,F,Lowell,CO,PLAN_SILVER
6b3a5686-0f63-5ce4-cc03-0bba2052f7b1,Lashawnda573 O'Hara248,1958-10-28,F,Lowell,TX,PLAN_SILVER
e70e7298-5026-74b0-505b-110dd1ce0af7,Lyla842 Braun514,1941-10-26,F,Canton,NC,PLAN_GOLD
8761af66-90ad-7f7d-2102-58b767495473,Jack927 Barton704,1991-06-21,M,Medford,NY,PLAN_PLATINUM
50aac3ff-d836-adfd-620d-662fa08fdf55,Jacquelynn434 Morar593,1960-09-23,F,Holyoke,OH,PLAN_SILVER
c88891ca-5796-aca3-c67d-0b2043dd0463,Alexander630 Robel940,2007-12-14,M,Marshfield,WA,PLAN_PLATINUM
