provider_id,provider_name,specialty,npi,city,state
c23e8780-6030-37ec-8d02-8c6e3def10ac,Reginald96 Bruen238,General Practice,9135693300,LEOMINSTER,MA
3aade15e-5333-3c4e-86c5-aab3511bc8e8,Lesley194 Fisher429,General Practice,6125839431,CAMBRIDGE,MA
af6e425b-c7d0-313d-af54-ec0dcab69e3f,Ludivina884 Steuber698,General Practice,2382980776,ATTLEBORO,MA
b64820cc-13b4-3185-946b-a208b6f3b43a,Esperanza675 Escobedo608,General Practice,9029523036,LAWRENCE,MA
581cc2bd-9005-3008-8abb-299f40d36ca5,Wilfredo622 Medhurst46,General Practice,3561812142,CAMBRIDGE,MA
a5889e7a-5743-3fb1-9695-fe6f861ba1c1,Terrell212 Fadel536,General Practice,3495101114,HYANNIS,MA
dd775926-ae15-31ec-985e-a4a7a56a24f2,Almeta56 Carter549,General Practice,5211689979,NORTHAMPTON,MA
c01b8276-f9a8-3c4d-9119-dfc9d62cc0ce,Jodie811 Wintheiser220,General Practice,8479692271,GREENFIELD,MA
b7ccd823-5152-3c05-903b-7058f518495e,Margaret865 Herzog843,General Practice,7376177772,BOSTON,MA
998a448e-0cc2-35fb-a3fc-cba0a899c928,Nicolás801 Jiménez568,General Practice,4980515177,SOUTHBRIDGE,MA
701f23b0-fe1c-31b9-acf6-3bbe2b173716,Cecille691 Halvorson124,General Practice,2991935488,FALL RIVER,MA
da3170c9-722b-3ec4-b0a7-c8047575c63a,Vicente970 Kilback373,General Practice,2497513179,HOLYOKE,MA
5b252616-6725-3267-8f1b-f61c37b1f31e,Jerold208 Spencer878,General Practice,6046390790,NEWBURYPORT,MA
e17f030a-562c-3361-a3e1-376aaae2ba38,Franklin857 Bayer639,General Practice,6066446809,PALMER,MA
09486c89-6c53-3650-af60-9662cff4f733,Leslie90 Crona259,General Practice,6185854491,BOSTON,MA
e9b52e0e-d463-3d69-bfce-281c35d6d850,Dinah304 Schaefer657,General Practice,6806915244,BEVERLY,MA
b0c5743a-4f9a-33b3-bab4-6a474fcf9ffd,Ellan282 Jacobi462,General Practice,8258314654,SALEM,MA
560a86a1-8b91-360b-a9fe-f52abe01aa54,Stefania815 Leffler128,General Practice,8785980894,BRIGHTON,MA
4281fb18-acb9-3766-926f-817bd9469bcc,Russel238 Walker122,General Practice,7011274497,PITTSFIELD,MA
0e155ed6-c9aa-383e-bdc7-7986592967b1,Melvina326 Glover433,General Practice,4084111687,MARLBOROUGH,MA
95e359bc-9de2-3af5-8367-f8dcc84c823e,Louetta798 Thompson596,General Practice,6875378549,BROCKTON,MA
a18d9baf-6f37-3ef1-9580-5954bc406985,Eleonora961 Langosh790,General Practice,4922736729,CLINTON,MA
0bab5325-491c-326f-b1af-c28c8e4559f6,Ingrid581 Jacobson885,General Practice,2223951818,PLYMOUTH,MA
777e8216-0510-394b-a3d6-22b3f831ae11,Robbie31 Friesen796,General Practice,7821891463,WORCESTER,MA
584a32a8-2fc6-3c4f-947a-6b2c80851a1d,Dong972 Oberbrunner298,General Practice,4413498350,LOWELL,MA
7ab9dff2-d042-37ab-86fa-5dc1be732afc,Benedict104 Ziemann98,General Practice,9537399179,WESTFIELD,MA
c389231c-52b6-30d4-a8a9-002f09992142,Douglass930 Windler79,General Practice,5888759506,SPRINGFIELD,MA
faa87618-81eb-3ac8-923b-bf203be11e67,Damaris45 Borer986,General Practice,9791779195,MELROSE,MA
c4d2ed7d-e1b3-37e2-82f9-b21046309ba4,Antwan357 Harris789,General Practice,3864037133,TAUNTON,MA
f2ee2f6a-476a-3603-9848-b5773334fc00,Isreal8 Kihn564,General Practice,6475230798,FALL RIVER,MA
2023a799-2651-317f-942e-af7d42ced2d9,Harris789 Blanda868,General Practice,5119582789,BOSTON,MA
d4d970f1-3905-33d9-8649-26e971d07903,Margery365 Paucek755,General Practice,9645252394,SPRINGFIELD,MA
d912a775-b8b4-3ba1-ac3b-2e2d41885250,Denisse335 Schulist381,General Practice,7118119126,METHUEN,MA
5b05da30-d5c5-3c7f-81d6-b3378a3ff3c7,Jenniffer979 Ebert178,General Practice,4018107294,NEEDHAM,MA
b7b97452-4773-3e11-9334-7de44c5a59ef,Alix578 Lynch190,General Practice,4352928536,W CONCORD,MA
eb909aa8-80c8-399b-8e89-f79727b011e9,Trina350 Cummings51,General Practice,5176859897,BOSTON,MA
0a030f7e-8fd7-3cdc-9ba4-018ec94d69e4,Marcelene872 Mayert710,General Practice,4672879486,BOSTON,MA
e2d3a787-83d4-3bd9-a769-753b3285078d,Wilton999 Pollich983,General Practice,1285928306,MILFORD,MA
01e50ec8-8cf7-3f62-8c72-9bdc0453fcd4,Domenica436 Tremblay80,General Practice,8967780198,GARDNER,MA
93f8038a-2a88-3bb2-8ef2-a37b8dcf0854,Grady603 Green467,General Practice,6356568809,AYER,MA
dc6cbbb3-afe0-3bd3-a3fd-94a87e1ba0e6,Daren950 Nienow652,General Practice,6917046846,SOUTH WEYMOUTH,MA
f4d65590-22bd-3409-9734-71ffd19f4945,Darrick836 Franecki195,General Practice,1239930875,NEWTON,MA
aa2c2d64-bf7c-3eba-af47-ea9b5794c86e,Andrea7 Hirthe744,General Practice,8809222620,WINCHESTER,MA
8ff3babb-d294-3772-96a7-8c72307df38d,Marcos263 Arroyo916,General Practice,5983043457,MILTON,MA
c03a8c79-0ad2-3a62-8d9e-9c30fbe795d8,Abel832 Mosciski958,General Practice,6986368712,BOSTON,MA
bb49afa2-3d8a-306c-a06e-a1715dd71af8,Hal307 Renner328,General Practice,7911898106,BROCKTON,MA
1d60fcb3-5155-3ad0-82ac-9589f48c6ec4,Arnette709 Conroy74,General Practice,2153623283,BOSTON,MA
db26a5ae-8026-3002-b849-2f4f1d6f1cb1,Winnie378 Witting912,General Practice,6037778401,BOSTON,MA
d9983def-f9fc-3fca-8c6e-88d9aff27ce0,Loris321 Bradtke547,General Practice,4168034118,NORWOOD,MA
fc897c25-b2ee-30c5-a945-d0eb13a1f96e,Regena252 Kunde533,General Practice,1582107724,FALMOUTH,MA
8fb9c4b3-39f4-3bf0-ae07-1702054cdb81,Keven605 Mueller846,General Practice,3538721036,WORCESTER,MA
43b6d00b-7643-36f8-8043-456d4eda39eb,Demetrice140 Crooks415,General Practice,8209990211,BURLINGTON,MA
d54cdb71-e36b-3d50-a6fc-a99d54c8958e,Alta896 Schiller186,General Practice,7411432791,FRAMINGHAM,MA
1316ee2b-4541-350c-8d92-2e9cda532295,Aline709 Turner526,General Practice,8562160554,WORCESTER,MA
5b52fd6e-45b3-3d0c-93ba-8c8e282d9a3b,Leesa210 Lehner980,General Practice,7642357756,NANTUCKET,MA
85761314-d083-374e-96d4-2d892dfa00c6,Ginger664 Goodwin327,General Practice,5606722797,GREAT BARRINGTON,MA
ed4d8366-2eb4-3db7-870d-7977fc70a9dd,Shirl54 Ankunding277,General Practice,1663544849,BRIGHTON,MA
1e2c8eff-18b4-353b-ae46-844b81fdf14d,Adrian111 Murazik203,General Practice,9118046717,BOSTON,MA
9f529022-166f-3db4-9f92-ff1ba11ee565,Loma263 Funk324,General Practice,6767420242,SPRINGFIELD,MA
fb5a0e4f-fdea-3a2a-85a4-b6f3cfff2956,Linsey338 Hilll811,General Practice,3097303730,BOSTON,MA
0082cdc6-7774-3e65-afb5-5df6c85cb839,Reinaldo138 Zieme486,General Practice,5755957806,Bedford,MA
cc4e4c6d-a813-3548-a07e-f40d720b7683,Derrick232 Wintheiser220,General Practice,2262546007,Brockton,MA
62c53dbf-0f4e-3716-9bb5-cba7e411d7a4,Sondra191 Botsford977,General Practice,6280870428,Jamaica Plain,MA
c92f35d1-e0cd-330c-bd75-14d35632d459,Lilia791 Rangel145,General Practice,6787225012,West Roxbury,MA
49337d68-eeb0-37bd-9f94-81951076851e,Heriberto162 Smitham825,General Practice,7451899267,Leeds,MA
47370703-4a87-3561-87cd-da300ce11765,Lorette239 King743,General Practice,2542902267,Boston,MA
1bc29e06-ddc3-3312-ac3b-eb529ae41b09,Ilana185 Dicki44,General Practice,6001695391,Fitchburg,MA
0eaec6a0-2892-3af6-9939-14f72fb05d3f,Tanesha560 Schumm995,General Practice,8856002516,Framingham,MA
9bfda6c2-88e0-30af-ace4-443ea7b64128,Molly175 Macejkovic424,General Practice,1789773819,Greenfield,MA
f2d6c4d3-63ee-39ce-aaf1-443c6450ad21,Gregory545 Gusikowski974,General Practice,7292854300,Hyannis,MA
75548dc6-1212-3b32-b942-e255d844d773,Walter473 Volkman526,General Practice,9821105917,Lowell,MA
30ee3060-eed9-3580-8dba-549e60361025,Tera136 Tromp100,General Practice,9768784152,Lynn,MA
0bca8f98-abfa-30b1-9365-181773662ee9,Alleen813 Anderson154,General Practice,6858795386,New Bedford,MA
853d2d2e-ce50-347c-a032-640e658f6a01,Marcell728 Fritsch593,General Practice,1791413774,Plymouth,MA
